,stn,avg_temp,lat,lon
133,272150,27.91098901098901,58.033,37.1
134,272250,26.585365853658537,58.1,38.683
135,272420,26.764705882352942,58.483,41.533
136,272520,24.20368098159509,58.35,43.383
137,272710,23.24534161490683,58.367,45.533
138,273160,26.85952380952381,57.35,37.583
139,273210,26.801785714285714,57.5,38.3
140,273290,28.875903614457833,57.2,39.417
141,273330,26.594767441860466,57.733,40.783
142,273470,25.79299363057325,56.95,40.967
143,273550,24.727272727272723,57.333,43.117
144,274020,28.684302325581395,56.883,35.867
145,274170,27.22830188679245,56.35,36.75
146,275070,31.809625668449186,55.517,35.033
147,275110,28.564880952380953,55.9,36.817
148,275230,25.99765625,55.767,38.683
149,275320,26.923809523809528,56.117,40.35
150,275390,26.94276729559748,55.6,40.65
151,275930,23.814285714285717,56.083,49.867
152,276110,28.81242603550296,55.383,36.7
153,276270,27.37861635220126,54.833,38.15
154,276480,29.19065934065934,54.95,41.767
155,276970,24.836216216216222,54.933,48.783
156,277760,26.597740112994355,54.483,46.7
157,277850,25.612571428571425,54.276,48.243
158,278350,28.48238993710692,53.717,40.117
159,278580,30.294930875576032,53.333,43.317
160,278720,29.06326530612245,53.85,46.417
161,278940,26.251666666666665,53.6,48.833
162,279210,38.27148936170213,53.15,38.117
163,279550,29.29897435897436,52.967,43.4
164,279810,27.62972972972973,53.15,47.517
165,279830,27.16536312849162,53.183,48.4
166,281160,26.8995983935743,58.983,54.65
167,282160,27.7232,58.083,54.683
168,282550,19.580000000000002,58.05,63.683
169,283820,19.811764705882357,57.683,71.183
170,283830,30.86928571428572,57.517,72.4
171,284280,28.85637065637066,56.5,56.133
172,284510,27.456048387096768,56.85,62.717
173,284650,36.226997245179064,56.683,66.35
174,285860,26.266803278688528,55.867,72.2
175,285880,18.751052631578947,55.567,71.367
176,285930,28.47111111111111,56.1,74.633
177,286550,35.11692789968653,55.233,63.317
178,286880,18.601562500000004,54.9,71.25
179,286960,24.032499999999995,55.033,74.583
180,287040,24.718085106382972,54.5,50.417
181,287050,24.730687830687827,54.417,51.1
182,287110,24.114507772020726,54.617,52.8
183,287560,20.221531100478465,54.467,64.867
184,287910,26.856378600823046,54.633,72.433
